CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 9 is empty
cpus=10
      lazy_alloc-31612 [004] 34326.485821: funcgraph_entry:        0.184 us   |                _raw_spin_unlock();
      lazy_alloc-31612 [004] 34326.485821: funcgraph_exit:         0.635 us   |              }
      lazy_alloc-31612 [004] 34326.485821: funcgraph_entry:        0.250 us   |              __memcg_kmem_charge_page();
      lazy_alloc-31612 [004] 34326.485821: funcgraph_exit:         1.524 us   |            }
      lazy_alloc-31612 [004] 34326.485821: funcgraph_exit:         1.895 us   |          }
      lazy_alloc-31612 [004] 34326.485822: funcgraph_exit:         2.060 us   |        }
      lazy_alloc-31612 [004] 34326.485822: funcgraph_entry:                   |        __lruvec_stat_mod_folio() {
      lazy_alloc-31612 [004] 34326.485822: funcgraph_entry:        0.080 us   |          __rcu_read_lock();
      lazy_alloc-31612 [004] 34326.485822: funcgraph_entry:        0.080 us   |          __rcu_read_unlock();
      lazy_alloc-31612 [004] 34326.485822: funcgraph_entry:        0.083 us   |          __mod_node_page_state();
      lazy_alloc-31612 [004] 34326.485822: funcgraph_exit:         0.626 us   |        }
      lazy_alloc-31612 [004] 34326.485822: funcgraph_entry:        0.089 us   |        _raw_spin_lock();
      lazy_alloc-31612 [004] 34326.485823: funcgraph_entry:        0.088 us   |        _raw_spin_unlock();
      lazy_alloc-31612 [004] 34326.485823: funcgraph_exit:         3.334 us   |      }
      lazy_alloc-31612 [004] 34326.485823: funcgraph_entry:        0.148 us   |      __thp_vma_allowable_orders();
      lazy_alloc-31612 [004] 34326.485823: funcgraph_entry:                   |      do_fault() {
      lazy_alloc-31612 [004] 34326.485823: funcgraph_entry:                   |        __vmf_anon_prepare() {
      lazy_alloc-31612 [004] 34326.485823: funcgraph_entry:                   |          __anon_vma_prepare() {
      lazy_alloc-31612 [004] 34326.485824: funcgraph_entry:                   |            kmem_cache_alloc_noprof() {
      lazy_alloc-31612 [004] 34326.485824: funcgraph_entry:        0.081 us   |              __memcg_slab_post_alloc_hook();
      lazy_alloc-31612 [004] 34326.485824: funcgraph_exit:         0.296 us   |            }
      lazy_alloc-31612 [004] 34326.485824: funcgraph_entry:        0.275 us   |            find_mergeable_anon_vma();
      lazy_alloc-31612 [004] 34326.485824: funcgraph_entry:                   |            kmem_cache_alloc_noprof() {
      lazy_alloc-31612 [004] 34326.485824: funcgraph_entry:        0.084 us   |              __memcg_slab_post_alloc_hook();
      lazy_alloc-31612 [004] 34326.485825: funcgraph_exit:         0.350 us   |            }
      lazy_alloc-31612 [004] 34326.485825: funcgraph_entry:        0.091 us   |            down_write();
      lazy_alloc-31612 [004] 34326.485825: funcgraph_entry:        0.090 us   |            _raw_spin_lock();
      lazy_alloc-31612 [004] 34326.485825: funcgraph_entry:        0.100 us   |            anon_vma_interval_tree_insert();
      lazy_alloc-31612 [004] 34326.485825: funcgraph_entry:        0.090 us   |            _raw_spin_unlock();
      lazy_alloc-31612 [004] 34326.485825: funcgraph_entry:        0.089 us   |            up_write();
      lazy_alloc-31612 [004] 34326.485826: funcgraph_exit:         2.245 us   |          }
      lazy_alloc-31612 [004] 34326.485826: funcgraph_exit:         2.462 us   |        }
      lazy_alloc-31612 [004] 34326.485826: funcgraph_entry:                   |        vma_alloc_folio_noprof() {
      lazy_alloc-31612 [004] 34326.485826: funcgraph_entry:        0.140 us   |          get_vma_policy();
